-1.896265, 1.870954
-1.898500, 1.876952
-1.900735, 1.882949
-1.902970, 1.888946
-1.905205, 1.894943
-1.907439, 1.900940
-1.909674, 1.906937
-1.911909, 1.912934
-1.914144, 1.918932
-1.916379, 1.924929
-1.918613, 1.930926
-1.920848, 1.936923
-1.923083, 1.942920
-0.597650, 1.877444
-0.603828, 1.875771
-0.610005, 1.874098
-0.616183, 1.872425
-0.622360, 1.870752
1.299271, -0.030089
1.304824, -0.033271
1.310377, -0.036452
1.315930, -0.039634
1.301656, -0.081635
1.305972, -0.076909
1.310288, -0.072184
1.314605, -0.067459
-0.762834, 1.870697
-0.766944, 1.875603
-0.771053, 1.880510
-0.775163, 1.885416
-0.779272, 1.890323
-0.783381, 1.895229
-0.787491, 1.900135
-0.791600, 1.905042
-0.795710, 1.909948
-0.799819, 1.914855
-0.803928, 1.919761
-0.808038, 1.924668
-0.812147, 1.929574
-0.816257, 1.934480
-0.820366, 1.939387
-0.824475, 1.944293
-0.828585, 1.949200
-0.832694, 1.954106
-0.836804, 1.959012
-0.840913, 1.963919
-0.845022, 1.968825
-0.849132, 1.973732
-0.853241, 1.978638
-0.857351, 1.983544
-0.861460, 1.988451
-0.865569, 1.993357
-0.869679, 1.998264
-0.873788, 2.003170
-0.877898, 2.008077
-0.882007, 2.012983
-0.886116, 2.017889
-0.890226, 2.022796
-0.894335, 2.027702
-0.898445, 2.032609
-0.902554, 2.037515
-0.906663, 2.042421
-0.910773, 2.047328
-0.914882, 2.052234
-0.918992, 2.057141
-0.923101, 2.062047
-0.927210, 2.066953
-0.931320, 2.071860
-0.935429, 2.076766
-0.939539, 2.081673
-0.943648, 2.086579
-0.947757, 2.091485
-0.951867, 2.096392
-0.955976, 2.101298
-0.960086, 2.106205
-0.964195, 2.111111
-0.968304, 2.116017
-0.972414, 2.120924
-0.976523, 2.125830
-0.980633, 2.130737
-0.984742, 2.135643
-0.988851, 2.140550
-0.992961, 2.145456
-0.997070, 2.150362
-1.001180, 2.155269
-1.005289, 2.160175
-1.009398, 2.165082
-1.013508, 2.169988
-1.017617, 2.174894
-1.021727, 2.179801
-1.025836, 2.184707
-1.029945, 2.189614
-1.034055, 2.194520
-1.038164, 2.199426
-1.042274, 2.204333
-1.046383, 2.209239
-1.050492, 2.214146
-1.054602, 2.219052
